id_cliente;qtd_atendimentos;data_ultimo_atendimento;valor_total_atendimentos;qtd_produtos_vendidos;data_ultima_venda_produto;valor_total_venda_produtos;qtd_pacotes_vendidos;data_ultima_venda_pacote;valor_total_venda_pacotes;valor_total_vendas;valor_total_pendente_conta_aberta;valor_total_pendente_notas_abertas
9426440;0;;0;0;;0;0;;0;0;270.00;0
9531864;0;;0;0;;0;0;;0;0;715.00;0
9555480;0;;0;0;;0;0;;0;0;45.00;0
9577821;0;;0;0;;0;0;;0;0;285.00;0
9579890;0;;0;0;;0;0;;0;0;1430.00;0
9594567;0;;0;0;;0;0;;0;0;80.00;0
9630294;0;;0;0;;0;0;;0;0;550.00;0
9632248;0;;0;0;;0;0;;0;0;1025.00;0
9650842;0;;0;0;;0;0;;0;0;795.00;0
9657068;0;;0;0;;0;0;;0;0;105.00;0
9661248;0;;0;0;;0;0;;0;0;360.00;0
9661807;0;;0;0;;0;0;;0;0;135.00;0
9681073;0;;0;0;;0;0;;0;0;45.00;0
9682137;0;;0;0;;0;0;;0;0;35.00;0
9682266;0;;0;0;;0;0;;0;0;425.00;0
9782975;0;;0;0;;0;0;;0;0;35.00;0
9821853;0;;0;0;;0;0;;0;0;125.00;0
9835716;0;;0;0;;0;0;;0;0;90.00;0
9855710;0;;0;0;;0;0;;0;0;90.00;0
9855735;0;;0;0;;0;0;;0;0;955.00;0
9865308;0;;0;0;;0;0;;0;0;320.00;0
9867407;0;;0;0;;0;0;;0;0;735.00;0
9971606;0;;0;0;;0;0;;0;0;380.00;0
9973827;0;;0;0;;0;0;;0;0;45.00;0
10031449;0;;0;0;;0;0;;0;0;150.00;0
10036643;0;;0;0;;0;0;;0;0;330.00;0
10082729;0;;0;0;;0;0;;0;0;140.00;0
10087718;0;;0;0;;0;0;;0;0;115.00;0
10104741;0;;0;0;;0;0;;0;0;45.00;0
10150931;0;;0;0;;0;0;;0;0;295.00;0
10154103;0;;0;0;;0;0;;0;0;480.00;0
10160632;0;;0;0;;0;0;;0;0;45.00;0
10160981;0;;0;0;;0;0;;0;0;140.00;0
10161009;0;;0;0;;0;0;;0;0;45.00;0
10168501;0;;0;0;;0;0;;0;0;35.00;0
10175201;0;;0;0;;0;0;;0;0;120.00;0
10224811;0;;0;0;;0;0;;0;0;917.50;0
10271397;0;;0;0;;0;0;;0;0;45.00;0
10271418;0;;0;0;;0;0;;0;0;285.00;0
10351132;0;;0;0;;0;0;;0;0;45.00;0
10373081;0;;0;0;;0;0;;0;0;105.00;0
10457138;0;;0;0;;0;0;;0;0;45.00;0
10461693;0;;0;0;;0;0;;0;0;45.00;0
10624948;0;;0;0;;0;0;;0;0;1245.00;0
10624959;0;;0;0;;0;0;;0;0;170.00;0
10654116;0;;0;0;;0;0;;0;0;135.00;0
10684223;0;;0;0;;0;0;;0;0;945.00;0
10767845;0;;0;0;;0;0;;0;0;195.00;0
10771344;0;;0;0;;0;0;;0;0;652.50;0
10837025;0;;0;0;;0;0;;0;0;70.00;0
10837279;0;;0;0;;0;0;;0;0;135.00;0
10892734;0;;0;0;;0;0;;0;0;90.00;0
10896551;0;;0;0;;0;0;;0;0;35.00;0
10896592;0;;0;0;;0;0;;0;0;45.00;0
10951594;0;;0;0;;0;0;;0;0;45.00;0
10952148;0;;0;0;;0;0;;0;0;125.00;0
10962467;0;;0;0;;0;0;;0;0;240.00;0
10976487;0;;0;0;;0;0;;0;0;185.00;0
10991082;0;;0;0;;0;0;;0;0;713.00;0
11011586;0;;0;0;;0;0;;0;0;105.00;0
11034551;0;;0;0;;0;0;;0;0;1035.00;0
11046779;0;;0;0;;0;0;;0;0;551.00;0
